CacheErrorHandler, CLASS/INTERFACE, 867, 51, 4.2 Caching Improvements, org.springframework.cache.interceptor.CacheErrorHandler, @null
Cache, CLASS/INTERFACE, 869, 49, 4.2 Caching Improvements, org.springframework.cache.Cache, @null
putIfAbsent, UNIDENTIFIED-TYPE, 869, 103, 4.2 Caching Improvements, null, @null
ResourceHttpRequestHandler, CLASS/INTERFACE, 874, 57, 4.3 Web Improvements, org.springframework.web.servlet.resource.ResourceHttpRequestHandler, @null
ResourceResolver, CLASS/INTERFACE, 875, 41, 4.3 Web Improvements, org.springframework.web.servlet.resource.ResourceResolver, @null
ResourceTransformer, CLASS/INTERFACE, 875, 88, 4.3 Web Improvements, org.springframework.web.servlet.resource.ResourceTransformer, @null
ResourceUrlProvider, CLASS/INTERFACE, 876, 5, 4.3 Web Improvements, org.springframework.web.servlet.resource.ResourceUrlProvider, @null
java.util.Optional, PACKAGE, 880, 17, 4.3 Web Improvements, org.springframework.beans.BeanWrapperTests.GetterWithOptional, @null
ListenableFuture, CLASS/INTERFACE, 883, 1, 4.3 Web Improvements, org.springframework.util.concurrent.ListenableFuture, @null
DeferredResult, CLASS/INTERFACE, 883, 93, 4.3 Web Improvements, org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethodTests.CustomDeferredResult, @null
AsyncRestTemplate, CLASS/INTERFACE, 884, 51, 4.3 Web Improvements, org.springframework.web.client.AsyncRestTemplate, @null
ListenableFuture, CLASS/INTERFACE, 885, 9, 4.3 Web Improvements, org.springframework.util.concurrent.ListenableFuture, @null
ResponseEntity, CLASS/INTERFACE, 890, 128, 4.3 Web Improvements, org.springframework.http.ResponseEntity, @null
ResponseEntity, CLASS/INTERFACE, 898, 101, 4.3 Web Improvements, org.springframework.http.ResponseEntity, @null
ResponseBodyAdvice, CLASS/INTERFACE, 900, 98, 4.3 Web Improvements, org.springframework.web.servlet.mvc.method.annotation.ResponseBodyAdvice, @null
HttpMessageConverter, CLASS/INTERFACE, 904, 40, 4.3 Web Improvements, org.springframework.http.converter.xml.Jaxb2RootElementHttpMessageConverterTests.MyJaxb2RootElementHttpMessageConverter, @null
jackson(), METHOD, 914, 21, 4.3 Web Improvements, null, @null
FooController, CLASS/INTERFACE, 918, 104, 4.3 Web Improvements, null, @null
handleFoo, UNIDENTIFIED-TYPE, 919, 13, 4.3 Web Improvements, null, @null
