org.apache.http.impl.execchain.TestRetryExec, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.execchain.TestMinimalClientExec, @stereotype BOUNDARY COMMANDER
org.apache.http.cookie.TestCookiePathComparator, @stereotype BOUNDARY
org.apache.http.cookie.TestCookiePriorityComparator, @stereotype BOUNDARY COMMANDER
org.apache.http.cookie.TestCookieOrigin, @stereotype 
org.apache.http.auth.AuthSchemeRegistry, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.auth.Credentials, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.auth.InvalidCredentialsException, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.auth.ContextAwareAuthScheme, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.auth.BasicUserPrincipal, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.auth.NTCredentials, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.auth.params.AuthPNames, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.auth.KerberosCredentials, @stereotype LAZY_CLASS@stereotype LAZY_CLASS
org.apache.http.auth.AuthSchemeFactory, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.auth.NTUserPrincipal, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.auth.AuthenticationException, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.auth.AuthSchemeProvider, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.auth.AuthState, @stereotype MINIMAL_ENTITY@stereotype MINIMAL_ENTITY
org.apache.http.auth.AUTH, @stereotype POOL@stereotype POOL
org.apache.http.auth.AuthScope, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.auth.AuthOption, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.auth.UsernamePasswordCredentials, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.auth.AuthScheme, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.auth.MalformedChallengeException, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.client.protocol.ResponseProcessCookies, @stereotype BOUNDARY COMMANDER@stereotype BOUNDARY COMMANDER
org.apache.http.client.protocol.ResponseContentEncoding, @stereotype POOL@stereotype POOL
org.apache.http.client.protocol.RequestExpectContinue, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.client.protocol.RequestAuthCache, @stereotype BOUNDARY COMMANDER@stereotype BOUNDARY COMMANDER
